GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BHI001
GIS Join match code,Datafile year,State Name,State Code,County Name,County Code,Census Tract Prefix Code,Census Tract Code,Census Tract Suffix Code,Area name,Total
G17003100001,1930,Illinois,17,Cook,031,"",0001,"",Tract    0001     in Chicago IL,4511
G17003100002,1930,Illinois,17,Cook,031,"",0002,"",Tract    0002     in Chicago IL,1555
G17003100003,1930,Illinois,17,Cook,031,"",0003,"",Tract    0003     in Chicago IL,7064
G17003100004,1930,Illinois,17,Cook,031,"",0004,"",Tract    0004     in Chicago IL,8497
G17003100005,1930,Illinois,17,Cook,031,"",0005,"",Tract    0005     in Chicago IL,14853
G17003100006,1930,Illinois,17,Cook,031,"",0006,"",Tract    0006     in Chicago IL,7588
G17003100007,1930,Illinois,17,Cook,031,"",0007,"",Tract    0007     in Chicago IL,5813
G17003100008,1930,Illinois,17,Cook,031,"",0008,"",Tract    0008     in Chicago IL,7213
G17003100009,1930,Illinois,17,Cook,031,"",0009,"",Tract    0009     in Chicago IL,11383
G17003100010,1930,Illinois,17,Cook,031,"",0010,"",Tract    0010     in Chicago IL,3198
G17003100011,1930,Illinois,17,Cook,031,"",0011,"",Tract    0011     in Chicago IL,5173
G17003100012,1930,Illinois,17,Cook,031,"",0012,"",Tract    0012     in Chicago IL,6924
G17003100013,1930,Illinois,17,Cook,031,"",0013,"",Tract    0013     in Chicago IL,3281
G17003100014,1930,Illinois,17,Cook,031,"",0014,"",Tract    0014     in Chicago IL,3761
G17003100015,1930,Illinois,17,Cook,031,"",0015,"",Tract    0015     in Chicago IL,2917
G17003100016,1930,Illinois,17,Cook,031,"",0016,"",Tract    0016     in Chicago IL,1077
G17003100017,1930,Illinois,17,Cook,031,"",0017,"",Tract    0017     in Chicago IL,2045
G17003100018,1930,Illinois,17,Cook,031,"",0018,"",Tract    0018     in Chicago IL,3584
G17003100019,1930,Illinois,17,Cook,031,"",0019,"",Tract    0019     in Chicago IL,2048
G17003100020,1930,Illinois,17,Cook,031,"",0020,"",Tract    0020     in Chicago IL,9134
G17003100021,1930,Illinois,17,Cook,031,"",0021,"",Tract    0021     in Chicago IL,2725
G17003100022,1930,Illinois,17,Cook,031,"",0022,"",Tract    0022     in Chicago IL,10295
G17003100023,1930,Illinois,17,Cook,031,"",0023,"",Tract    0023     in Chicago IL,4521
G17003100024,1930,Illinois,17,Cook,031,"",0024,"",Tract    0024     in Chicago IL,9009
G17003100025,1930,Illinois,17,Cook,031,"",0025,"",Tract    0025     in Chicago IL,0
G17003100026,1930,Illinois,17,Cook,031,"",0026,"",Tract    0026     in Chicago IL,6317
G17003100027,1930,Illinois,17,Cook,031,"",0027,"",Tract    0027     in Chicago IL,6335
G17003100028,1930,Illinois,17,Cook,031,"",0028,"",Tract    0028     in Chicago IL,5691
G17003100029,1930,Illinois,17,Cook,031,"",0029,"",Tract    0029     in Chicago IL,2311
G17003100030,1930,Illinois,17,Cook,031,"",0030,"",Tract    0030     in Chicago IL,5729
G17003100031,1930,Illinois,17,Cook,031,"",0031,"",Tract    0031     in Chicago IL,4566
G17003100032,1930,Illinois,17,Cook,031,"",0032,"",Tract    0032     in Chicago IL,3304
